row	tranche_role	lab	line_or_source	platform	axis	WL_top_stage	WL_top_state	Epi_top_state	Epi_off_target_pct	Ambiguity_pct	interpretation
GSM5819133_iAEC2_3D	nearest_validation	Kotton / BU	iPSC iAEC2 (SPC2-ST-B2)	10x	culture_format	late_GW17_19 / week_18	Proliferating progenitors	Proliferating progenitors	0.9	31.0	feeder-free 3D baseline; cross-dataset replication
GSM5819134_iAEC2_3D_insert	nearest_validation	Kotton / BU	iPSC iAEC2 (SPC2-ST-B2)	10x	culture_format	late_GW17_19 / week_18	Proliferating progenitors	Proliferating progenitors	1.5	9.9	best alignment in world; most resolved
GSM5819135_iAEC2_MRC5_insert	nearest_validation	Kotton / BU	iPSC iAEC2 (SPC2-ST-B2)	10x	culture_format	late_GW17_19 / week_18	Proliferating progenitors	Proliferating progenitors	2.1	15.7	+MRC5 co-culture; effect minimal on iAEC2
GSM6858857_WT_YAP	nearest_validation	Kotton / BU	iPSC iAT2 (SPC2-ST-B2)	10x	perturbation	late_GW17_19 / week_18	Proliferating progenitors	Proliferating progenitors	1.8	11.2	paired lentiviral control; Tip cells 2nd (29.9%); not an untransduced control
GSM6858858_YAP5SA	nearest_validation	Kotton / BU	iPSC iAT2 (SPC2-ST-B2)	10x	perturbation	late_GW17_19 / week_18	Proliferating progenitors	Proliferating progenitors	1.7	24.2	YAP5SA perturbation; partial CFTR+ enrichment (SOX2lowCFTR+ 5.6%); P-0001 supportive
GSM6858850_iAT2_3D	nearest_validation	Kotton / BU	iPSC iAT2 (BU3 NGAT)	10x	differentiation	mid_GW14_16 / week_15	Budtip progenitors	Budtip progenitors	4.8	15.6	first external mid_GW14_16; iAT2 baseline; boundary-stress
GSM6858851_iAT1_3D	nearest_validation	Kotton / BU	iPSC iAT1 (BU3 NGAT)	10x	differentiation	late_GW17_19 / week_18	SOX2lowCFTR+ cells	SOX2lowCFTR+ cells	3.9	22.2	cross-line SOX2lowCFTR+ (60.9%); 3rd iPSC line confirming direction
GSM6858852_iAT1_ALI_p0	nearest_validation	Kotton / BU	iPSC iAT1 (BU3 NGAT)	10x	differentiation	late_GW17_19 / week_18	SOX2lowCFTR+ cells	SOX2lowCFTR+ cells	2.1	18.2	first ALI; SOX2lowCFTR+ retained; new culture format axis
GSM6858853_iAT1_ALI_p1	nearest_validation	Kotton / BU	iPSC iAT1 (BU3 NGAT)	10x	differentiation	late_GW17_19 / week_18	SOX2lowCFTR+ cells	SOX2lowCFTR+ cells	0.9	14.2	strongest SOX2lowCFTR+ (78.0%); best aligned iAT1; most resolved
GSM7865483_iAT2_3D	nearest_validation	Kotton / BU	iPSC iAT2 (BU3 NGAT)	10x	kinetic	late_GW17_19 / week_18	Proliferating progenitors	Proliferating progenitors	4.6	25.3	kinetic t=0 baseline; same line as BU3 anchor
GSM7865484_iAT1_24hr	nearest_validation	Kotton / BU	iPSC iAT1 (BU3 NGAT)	10x	kinetic	late_GW17_19 / week_18	Proliferating progenitors	Proliferating progenitors	2.4	15.5	early kinetic (24hr); progenitor expansion phase
GSM7865485_iAT1_48hr	nearest_validation	Kotton / BU	iPSC iAT1 (BU3 NGAT)	10x	kinetic	late_GW17_19 / week_18	Proliferating progenitors	Proliferating progenitors	1.2	13.6	mid kinetic (48hr); transitional before SOX2lowCFTR+ shift
GSM7865486_iAT1_72hr	nearest_validation	Kotton / BU	iPSC iAT1 (BU3 NGAT)	10x	kinetic	late_GW17_19 / week_18	SOX2lowCFTR+ cells	SOX2lowCFTR+ cells	0.6	13.8	kinetic endpoint (72hr); SOX2lowCFTR+ top state (53.6%)
